COMMAND> loadp
LOADP
        Please enter the name of the file: players_1.csv
        The file players_1.csv was opened
        300 players were imported
		
		
COMMAND> showp
SHOWP
        1 - Sort [A-Z]
        2 - Sort [Z-A]
        Option> 1

        Player     | Name                 | Team            | BirthDate   | Gender |
        200        | Ernest Garrett       | Maia Clube      | 2002/05/21  | M      |
        205        | Esteban Welch        | Maia Clube      | 1995/06/07  | M      |
        52         | Evelynn Burks        | Imortal         | 1997/04/03  | F      |
        176        | Evelynn Singleton    | Maia Clube      | 2001/04/07  | M      |
        22         | Francis Mccarty      | Imortal         | 1997/03/26  | M      |
        169        | Frederick Buck       | Maia Clube      | 2003/08/29  | M      |
        165        | George Marshall      | Maia Clube      | 1999/01/06  | M      |
        43         | Gia Rogers           | Imortal         | 2000/02/29  | F      |
        77         | Gloria Alvarado      | FC Porto        | 1998/09/04  | F      |
        267        | Gracelyn Wilder      | Esgueira        | 2000/07/23  | F      |
        2          | Guadalupe Hutchinson | Imortal         | 1996/02/28  | F      |
        207        | Hadley Matthews      | Maia Clube      | 1995/07/20  | M      |
        295        | Hamza Watson         | Esgueira        | 2000/11/26  | F      |
        197        | Hana Burke           | Maia Clube      | 2003/11/06  | F      |
        73         | Hank Huber           | FC Porto        | 1999/01/04  | M      |
        70         | Hanna Webb           | Imortal         | 1996/10/29  | F      |
        25         | Hannah George        | Imortal         | 1996/01/08  | M      |
        209        | Harley Chase         | Maia Clube      | 2005/08/01  | M      |
        168        | Harvey Contreras     | Maia Clube      | 1999/09/20  | M      |
        81         | Hattie Quinn         | FC Porto        | 2004/10/17  | F      |
        133        | Heaven Nieves        | FC Porto        | 1996/07/14  | M      |
        100        | Helen Gillespie      | FC Porto        | 2005/11/12  | F      |
        58         | Helen Mann           | Imortal         | 1995/09/13  | F      |
        182        | Hudson Blair         | Maia Clube      | 2002/08/28  | M      |
        122        | Hudson Hopper        | FC Porto        | 1999/07/05  | M      |
        93         | Irene Campos         | FC Porto        | 1999/12/04  | F      |
        255        | Isiah Cabrera        | Esgueira        | 2002/03/01  | M      |
        33         | Ivan Dodson          | Imortal         | 2001/02/17  | M      |
        31         | Izabella Hardin      | Imortal         | 1998/05/21  | F      |
        204        | Jabari Miles         | Maia Clube      | 1998/05/18  | M      |
        84         | Jace Patrick         | FC Porto        | 2004/05/29  | M      |
        226        | Jaidyn Gates         | Maia Clube      | 2001/11/01  | M      |
        138        | Janelle Casey        | FC Porto        | 2000/09/24  | F      |
        155        | Janessa Ball         | Maia Clube      | 2003/04/12  | F      |
        41         | Janiyah Santiago     | Imortal         | 1996/11/26  | M      |
        105        | Jared Mercado        | FC Porto        | 2002/01/08  | M      |
        95         | Jaron Thompson       | FC Porto        | 1999/03/28  | M      |
        50         | Jasper Morales       | Imortal         | 2005/10/21  | M      |
        60         | Javion Buck          | Imortal         | 1995/02/12  | M      |
        55         | Jaylene Valentine    | Imortal         | 1996/09/09  | F      |
        86         | Jazlyn Oneil         | FC Porto        | 2000/10/19  | M      |
        292        | Jazmine Wilkerson    | Esgueira        | 1995/04/01  | F      |
        45         | Jefferson Salas      | Imortal         | 1995/01/04  | M      |
        110        | Jensen Hendrix       | FC Porto        | 1998/01/05  | M      |
        233        | Jeremiah Sparks      | Maia Clube      | 2003/11/30  | M      |
        112        | Jerimiah Stephens    | FC Porto        | 2004/01/14  | M      |
        118        | Jerry Vinson         | FC Porto        | 1996/06/26  | M      |
        8          | Jillian Trujillo     | Imortal         | 2004/09/13  | M      |
        57         | Joanna Church        | Imortal         | 2000/04/09  | F      |
        222        | John Davis           | Maia Clube      | 2000/02/08  | M      |
        203        | Jolene Kent          | Maia Clube      | 2003/04/11  | F      |
        96         | Jonas Moran          | FC Porto        | 1995/12/08  | M      |
        75         | Jordyn Ramirez       | FC Porto        | 1995/01/21  | M      |
        266        | Joseph Melton        | Esgueira        | 1997/06/24  | M      |
        111        | Jovanni Cortez       | FC Porto        | 1997/08/04  | M      |
        241        | Joyce Barnett        | Esgueira        | 2001/01/16  | M      |
        4          | Julianna Wall        | Imortal         | 1996/08/12  | F      |
        99         | Julie Hampton        | FC Porto        | 1996/01/18  | F      |
        47         | Juliet Cunningham    | Imortal         | 1997/03/23  | F      |
        217        | Julius Kelley        | Maia Clube      | 1997/06/15  | M      |
        106        | Justus Golden        | FC Porto        | 2005/10/23  | M      |
        63         | Justus Mclean        | Imortal         | 1995/06/22  | M      |
        244        | Kai Duran            | Esgueira        | 2001/06/27  | M      |
        221        | Kaia Delaney         | Maia Clube      | 2002/06/14  | F      |
        103        | Kale Kline           | FC Porto        | 1997/11/08  | F      |
        144        | Karla Norman         | FC Porto        | 2005/09/25  | F      |
        114        | Karla White          | FC Porto        | 2003/08/01  | F      |
        49         | Katie Cole           | Imortal         | 1999/03/03  | F      |
        150        | Kayla Montgomery     | Maia Clube      | 2004/07/10  | F      |
        249        | Kaylyn Navarro       | Esgueira        | 1996/04/15  | M      |
        85         | Kelvin Logan         | FC Porto        | 2005/01/29  | M      |
        124        | Kendal Gillespie     | FC Porto        | 2004/07/17  | M      |
        186        | Kendrick Berry       | Maia Clube      | 2002/12/12  | M      |
        131        | Kenna Navarro        | FC Porto        | 1998/09/25  | F      |
        265        | Keyon Pollard        | Esgueira        | 2000/11/27  | M      |
        277        | Kinley Baird         | Esgueira        | 2000/10/09  | M      |
        134        | Kira Kerr            | FC Porto        | 1997/02/23  | F      |
        214        | Konner Emerson       | Maia Clube      | 2000/06/10  | M      |
        113        | Krystal Delacruz     | FC Porto        | 1998/07/18  | M      |
        94         | Kylan Cantu          | FC Porto        | 1999/07/15  | M      |
        19         | Kyler Harper         | Imortal         | 1995/03/22  | M      |
        79         | Kylie Hodges         | FC Porto        | 2000/11/07  | F      |
        154        | Kyndal Parsons       | Maia Clube      | 2000/10/27  | M      |
        236        | Lance Blair          | Esgueira        | 1996/05/21  | M      |
        88         | Landry Calhoun       | FC Porto        | 2005/09/30  | M      |
        125        | Lara Bray            | FC Porto        | 2003/05/05  | F      |
        148        | Larry Barry          | Maia Clube      | 2000/09/09  | M      |
        156        | Laurel Leonard       | Maia Clube      | 1997/07/27  | F      |
        11         | Laurel Massey        | Imortal         | 2003/06/25  | M      |
        210        | Laurel Morin         | Maia Clube      | 2002/04/13  | F      |
        97         | Leandro Taylor       | FC Porto        | 1997/11/27  | M      |
        65         | Leanna Farrell       | Imortal         | 1999/11/01  | F      |
        166        | Leila Fuller         | Maia Clube      | 1998/04/11  | F      |
        282        | Leila Mclean         | Esgueira        | 1995/03/08  | F      |
        171        | Lena Mcfadden        | Maia Clube      | 1997/09/16  | F      |
        198        | Leon Weiss           | Maia Clube      | 1995/03/05  | M      |
        108        | Lia Bowen            | FC Porto        | 2003/08/17  | F      |
        164        | Liana Mccormick      | Maia Clube      | 2001/05/15  | F      |
        189        | Liana Ruiz           | Maia Clube      | 1998/02/01  | F      |
        208        | Lillian Good         | Maia Clube      | 1999/07/30  | F      |
        178        | Lilyanna Dennis      | Maia Clube      | 2002/01/23  | F      |
        254        | Lina Atkins          | Esgueira        | 1997/10/20  | F      |
        21         | Linda Ferguson       | Imortal         | 1997/12/31  | F      |
        1          | Linda Leach          | Imortal         | 2003/08/28  | F      |
        190        | Lola Hines           | Maia Clube      | 1995/11/25  | F      |
        161        | Louis Stewart        | Maia Clube      | 2001/11/06  | M      |
        40         | Luca Mcmillan        | Imortal         | 2001/04/06  | M      |
        102        | Luciana Williams     | FC Porto        | 2004/06/05  | F      |
        145        | Lukas Pollard        | Maia Clube      | 1998/10/12  | M      |
        230        | Madeleine Saunders   | Maia Clube      | 1995/03/23  | F      |
        191        | Maggie Herman        | Maia Clube      | 2005/06/11  | F      |
        120        | Malaya Blankenship   | FC Porto        | 1996/01/12  | F      |
        26         | Malia Horn           | Imortal         | 1997/03/02  | F      |
        296        | Marilyn Boyle        | Esgueira        | 2001/12/30  | F      |
        132        | Marisa Leon          | FC Porto        | 1998/02/20  | F      |
        66         | Marissa Byrd         | Imortal         | 1997/01/13  | F      |
        213        | Martin Harrell       | Maia Clube      | 1997/05/24  | M      |
        149        | Marvin Blair         | Maia Clube      | 2005/04/25  | M      |
        12         | Max Gould            | Imortal         | 2004/11/12  | M      |
        5          | Mayson Romero        | Imortal         | 2004/12/07  | M      |
        283        | Melina Livingston    | Esgueira        | 1999/07/12  | F      |
        61         | Melody Carey         | Imortal         | 1997/12/04  | F      |
        281        | Melody Whitney       | Esgueira        | 1997/04/13  | F      |
        285        | Messiah Cline        | Esgueira        | 1997/06/03  | M      |
        126        | Miah Dale            | FC Porto        | 1997/01/12  | F      |
        188        | Michelle York        | Maia Clube      | 2000/08/01  | F      |
        219        | Mira Dillard         | Maia Clube      | 2001/07/04  | F      |
        246        | Miriam Odonnell      | Esgueira        | 2004/08/04  | M      |
        300        | Mohammed Andrews     | Esgueira        | 1999/03/23  | M      |
        273        | Myles Reid           | Esgueira        | 2003/11/15  | M      |
        15         | Nathanael Cooper     | Imortal         | 1996/05/16  | M      |
        83         | Nehemiah Jackson     | FC Porto        | 1998/09/25  | F      |
        286        | Nickolas Ramsey      | Esgueira        | 2002/05/14  | M      |
        143        | Nico Atkins          | FC Porto        | 1995/03/18  | M      |
        211        | Nicolas Black        | Maia Clube      | 1997/07/04  | M      |
        98         | Nikolas Horton       | FC Porto        | 2000/03/04  | M      |
        3          | Noelle Houston       | Imortal         | 2001/10/12  | F      |
        27         | Nolan Woodard        | Imortal         | 1996/06/19  | M      |
        48         | Nora Mooney          | Imortal         | 1997/11/06  | F      |
        101        | Olive Dunlap         | FC Porto        | 2003/11/25  | F      |
        29         | Oliver Morse         | Imortal         | 2002/01/20  | M      |
        232        | Orlando Byrd         | Maia Clube      | 2004/09/27  | M      |
        173        | Paige Trujillo       | Maia Clube      | 2001/12/19  | M      |
        181        | Paris Marsh          | Maia Clube      | 1997/10/06  | M      |
        38         | Pedro Mcknight       | Imortal         | 2004/01/25  | M      |
        123        | Penelope Coleman     | FC Porto        | 1997/03/10  | F      |
        68         | Piper Paul           | Imortal         | 2003/05/16  | M      |
        289        | Quinn Becker         | Esgueira        | 2005/01/14  | M      |
        234        | Rayden Lang          | Maia Clube      | 1999/01/11  | M      |
        147        | Reese Lucas          | Maia Clube      | 1998/06/16  | M      |
        187        | Ricardo Rush         | Maia Clube      | 2005/09/09  | M      |
        216        | Richard Bryan        | Maia Clube      | 2002/12/14  | M      |
        89         | Riley Acevedo        | FC Porto        | 2004/09/15  | M      |
        202        | Rodolfo Vazquez      | Maia Clube      | 2004/10/29  | M      |
        223        | Roselyn Tucker       | Maia Clube      | 1996/07/27  | F      |
        127        | Rudy Combs           | FC Porto        | 1995/09/22  | F      |
        69         | Russell Briggs       | Imortal         | 1999/09/27  | M      |
        54         | Rylee Oneal          | Imortal         | 2005/07/07  | M      |
        44         | Sage Baxter          | Imortal         | 1999/10/23  | M      |
        262        | Saige Patton         | Esgueira        | 1999/05/14  | M      |
        264        | Samara Gregory       | Esgueira        | 2005/10/14  | F      |
        294        | Saniya Wood          | Esgueira        | 1999/11/12  | F      |
        36         | Sariyah Moody        | Imortal         | 1996/03/15  | F      |
        42         | Saul Wong            | Imortal         | 1995/04/29  | M      |
        243        | Sawyer Lindsay       | Esgueira        | 2004/04/04  | M      |
        30         | Shane Holland        | Imortal         | 2005/09/25  | F      |
        299        | Shania Peters        | Esgueira        | 2003/03/15  | F      |
        157        | Shannon Mccoy        | Maia Clube      | 1997/05/12  | M      |
        291        | Sharon Craft         | Esgueira        | 1996/12/09  | M      |
        170        | Shayla Downs         | Maia Clube      | 2002/05/17  | F      |
        174        | Shelby Payne         | Maia Clube      | 2002/02/05  | F      |
        128        | Shelby Perez         | FC Porto        | 1998/09/03  | F      |
        239        | Siena Ford           | Esgueira        | 2005/05/11  | F      |
        242        | Simone Golden        | Esgueira        | 2002/02/11  | F      |
        159        | Sky Villarreal       | Maia Clube      | 2004/10/12  | M      |
        229        | Steve Bullock        | Maia Clube      | 2004/09/03  | M      |
        24         | Talia Ayala          | Imortal         | 2004/05/14  | F      |
        23         | Tara Sloan           | Imortal         | 2005/12/30  | F      |
        261        | Taylor Delacruz      | Esgueira        | 2004/02/05  | M      |
        162        | Tegan Wolf           | Maia Clube      | 1996/12/31  | M      |
        116        | Tenley Ellison       | FC Porto        | 1997/05/16  | M      |
        287        | Thaddeus Carrillo    | Esgueira        | 2001/11/20  | M      |
        272        | Tia Buchanan         | Esgueira        | 1998/08/25  | F      |
        28         | Tia Long             | Imortal         | 1995/08/07  | F      |
        288        | Trace Franks         | Esgueira        | 1998/04/04  | M      |
        247        | Trevon Hodges        | Esgueira        | 2003/11/26  | M      |
        278        | Tristen Neal         | Esgueira        | 2002/10/07  | M      |
        71         | Tyler Glover         | FC Porto        | 1999/09/13  | M      |
        184        | Uriah Hughes         | Maia Clube      | 2001/04/14  | M      |
        91         | Vincenzo Carver      | FC Porto        | 2000/08/09  | M      |
        35         | Westin Dale          | Imortal         | 2002/08/31  | M      |
        160        | Whitney Gay          | Maia Clube      | 2001/09/11  | F      |
        180        | Xander Kelley        | Maia Clube      | 1999/10/29  | M      |
        137        | Yamileth Maldonado   | FC Porto        | 1995/08/21  | M      |
        195        | Yareli Hewitt        | Maia Clube      | 2005/03/03  | M      |
        9          | Zeke Farley          | Imortal         | 2000/09/09  | M      |

		
COMMAND> TABLE
TABLE

 Level/Genre| Female  Male
===============================
      Sub 14|   20     36
-------------------------------
      Sub 16|   26     32
-------------------------------
      Sub 18|   17     31
-------------------------------
     Seniors|   61     77
-------------------------------

COMMAND> search
SEARCH
        Name of the team?: Imortal
        34         | Abigail Pierce       | Imortal         | 2002/03/08  | F      |
        14         | Albert Waters        | Imortal         | 1999/05/18  | M      |
        13         | Alexandra Vega       | Imortal         | 2003/05/22  | F      |
        37         | Alisson Martinez     | Imortal         | 1995/04/23  | F      |
        59         | Alvin Hill           | Imortal         | 1996/02/08  | M      |
        64         | Amy Rivers           | Imortal         | 1999/07/22  | F      |
        16         | Andres Robertson     | Imortal         | 2000/03/15  | M      |
        53         | Angelo Hayes         | Imortal         | 1999/09/24  | M      |
        32         | Annabelle Haney      | Imortal         | 1997/03/06  | F      |
        6          | Armani Riley         | Imortal         | 2000/01/04  | M      |
        18         | Aydin Barnett        | Imortal         | 1997/10/07  | M      |
        51         | Blakely David        | Imortal         | 2000/04/27  | M      |
        67         | Bradley Thompson     | Imortal         | 2004/06/26  | M      |
        56         | Braelynn Johnson     | Imortal         | 1999/12/28  | M      |
        62         | Briley Barrera       | Imortal         | 1995/12/23  | M      |
        20         | Bruno Hampton        | Imortal         | 1999/02/14  | M      |
        7          | Carley Reilly        | Imortal         | 1998/12/01  | M      |
        39         | Carly Santos         | Imortal         | 2003/11/16  | M      |
        10         | Cruz Fletcher        | Imortal         | 2000/04/10  | M      |
        46         | Ean Alford           | Imortal         | 1995/11/03  | M      |
        17         | Eduardo Chen         | Imortal         | 2001/08/02  | M      |
        52         | Evelynn Burks        | Imortal         | 1997/04/03  | F      |
        22         | Francis Mccarty      | Imortal         | 1997/03/26  | M      |
        43         | Gia Rogers           | Imortal         | 2000/02/29  | F      |
        2          | Guadalupe Hutchinson | Imortal         | 1996/02/28  | F      |
        70         | Hanna Webb           | Imortal         | 1996/10/29  | F      |
        25         | Hannah George        | Imortal         | 1996/01/08  | M      |
        58         | Helen Mann           | Imortal         | 1995/09/13  | F      |
        33         | Ivan Dodson          | Imortal         | 2001/02/17  | M      |
        31         | Izabella Hardin      | Imortal         | 1998/05/21  | F      |
        41         | Janiyah Santiago     | Imortal         | 1996/11/26  | M      |
        50         | Jasper Morales       | Imortal         | 2005/10/21  | M      |
        60         | Javion Buck          | Imortal         | 1995/02/12  | M      |
        55         | Jaylene Valentine    | Imortal         | 1996/09/09  | F      |
        45         | Jefferson Salas      | Imortal         | 1995/01/04  | M      |
        8          | Jillian Trujillo     | Imortal         | 2004/09/13  | M      |
        57         | Joanna Church        | Imortal         | 2000/04/09  | F      |
        4          | Julianna Wall        | Imortal         | 1996/08/12  | F      |
        47         | Juliet Cunningham    | Imortal         | 1997/03/23  | F      |
        63         | Justus Mclean        | Imortal         | 1995/06/22  | M      |
        49         | Katie Cole           | Imortal         | 1999/03/03  | F      |
        19         | Kyler Harper         | Imortal         | 1995/03/22  | M      |
        11         | Laurel Massey        | Imortal         | 2003/06/25  | M      |
        65         | Leanna Farrell       | Imortal         | 1999/11/01  | F      |
        21         | Linda Ferguson       | Imortal         | 1997/12/31  | F      |
        1          | Linda Leach          | Imortal         | 2003/08/28  | F      |
        40         | Luca Mcmillan        | Imortal         | 2001/04/06  | M      |
        26         | Malia Horn           | Imortal         | 1997/03/02  | F      |
        66         | Marissa Byrd         | Imortal         | 1997/01/13  | F      |
        12         | Max Gould            | Imortal         | 2004/11/12  | M      |
        5          | Mayson Romero        | Imortal         | 2004/12/07  | M      |
        61         | Melody Carey         | Imortal         | 1997/12/04  | F      |
        15         | Nathanael Cooper     | Imortal         | 1996/05/16  | M      |
        3          | Noelle Houston       | Imortal         | 2001/10/12  | F      |
        27         | Nolan Woodard        | Imortal         | 1996/06/19  | M      |
        48         | Nora Mooney          | Imortal         | 1997/11/06  | F      |
        29         | Oliver Morse         | Imortal         | 2002/01/20  | M      |
        38         | Pedro Mcknight       | Imortal         | 2004/01/25  | M      |
        68         | Piper Paul           | Imortal         | 2003/05/16  | M      |
        69         | Russell Briggs       | Imortal         | 1999/09/27  | M      |
        54         | Rylee Oneal          | Imortal         | 2005/07/07  | M      |
        44         | Sage Baxter          | Imortal         | 1999/10/23  | M      |
        36         | Sariyah Moody        | Imortal         | 1996/03/15  | F      |
        42         | Saul Wong            | Imortal         | 1995/04/29  | M      |
        30         | Shane Holland        | Imortal         | 2005/09/25  | F      |
        24         | Talia Ayala          | Imortal         | 2004/05/14  | F      |
        23         | Tara Sloan           | Imortal         | 2005/12/30  | F      |
        28         | Tia Long             | Imortal         | 1995/08/07  | F      |
        35         | Westin Dale          | Imortal         | 2002/08/31  | M      |
        9          | Zeke Farley          | Imortal         | 2000/09/09  | M      |


COMMAND> loadg
LOADG
        Please enter the name of the file: games_1.csv
        The file games_1.csv was opened
        517 games were imported

		
		
COMMAND> searchg
SEARCHG
        ID of the game?> 1


        ---------------------------------------------------
        Total number of points  100
        ---------------------------------------------------
        Total number of blocks 80
        ---------------------------------------------------
        Total number of used players 12
        ---------------------------------------------------

COMMAND> MVP
MVP
        ID of the game?: 1
		 ---------------------------------------------------
        O melhor jogador em campo tem o ID 244 e um MVP =25
		 ---------------------------------------------------


COMMAND> mfoulp
MFOULP
        FOULS AVERAGE PER PLAYER

        Player Name          | #Played Games | Av. Fouls
         ====================================================
        Linda Leach          | 2             | 3.00
        Guadalupe Hutchinson | 3             | 1.00
        Noelle Houston       | 3             | 3.00
        Julianna Wall        | 2             | 2.50
        Mayson Romero        | 2             | 4.50
        Armani Riley         | 3             | 3.67
        Carley Reilly        | 1             | 1.00
        Jillian Trujillo     | 2             | 4.50
        Zeke Farley          | 3             | 2.67
        Cruz Fletcher        | 3             | 2.67
        Laurel Massey        | 3             | 1.67
        Max Gould            | 2             | 2.50
        Alexandra Vega       | 2             | 4.00
        Albert Waters        | 1             | 2.00
        Nathanael Cooper     | 1             | 5.00
        Andres Robertson     | 3             | 2.00
        Eduardo Chen         | 3             | 2.00
        Aydin Barnett        | 1             | 1.00
        Kyler Harper         | 2             | 2.00
        Bruno Hampton        | 1             | 5.00
        Linda Ferguson       | 2             | 2.50
        Francis Mccarty      | 1             | 3.00
        Tara Sloan           | 4             | 3.50
        Talia Ayala          | 4             | 2.25
        Hannah George        | 1             | 1.00
        Malia Horn           | 1             | 2.00
        Nolan Woodard        | 1             | 3.00
        Tia Long             | 2             | 2.50
        Oliver Morse         | 3             | 3.33
        Shane Holland        | 4             | 2.25
        Izabella Hardin      | 2             | 3.00
        Annabelle Haney      | 2             | 4.00
        Ivan Dodson          | 3             | 2.67
        Abigail Pierce       | 2             | 3.00
        Westin Dale          | 3             | 4.00
        Sariyah Moody        | 2             | 2.50
        Alisson Martinez     | 1             | 2.00
        Pedro Mcknight       | 2             | 1.00
        Carly Santos         | 3             | 2.33
        Luca Mcmillan        | 3             | 1.67
        Saul Wong            | 1             | 4.00
        Gia Rogers           | 3             | 3.67
        Jefferson Salas      | 1             | 2.00
        Ean Alford           | 1             | 3.00
        Juliet Cunningham    | 1             | 0.00
        Nora Mooney          | 1             | 4.00
        Katie Cole           | 1             | 3.00
